,ID,Name,FoodPreference,Age,sex,Kitchen,Kitchen_story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
56,3914227c-1df2-47b8-9b7c-ce1cbf35cb3a,Kellen Kinlock,meat,29,Female,no,10,115.5233,-8.7183,32ac01e8-e6a0-4d73-b436-be700d13c21a,Fidela Suddards,18,Female
57,834b0f09-d8e9-48ea-bd07-d2358da77a41,Ardelia Ingre,meat,29,Female,yes,1,-11.3913379,9.1505664,1a762ef0-16d2-4b92-b35c-2364fe81aed6,Chandra Lott,22,Female
58,961090ff-49fc-4ade-b94a-74699761c231,Lane Brittoner,veggie,34,Female,maybe,1,-109.16818,51.46681,1f3acd63-0bc6-4493-8d47-f03933093adb,Niven Hull,33,Male
59,89eb972f-0014-463d-87a5-63b21c3786b9,Earl Marrison,veggie,30,Female,no,8,120.16366,33.347316,749a19f8-80dd-44fb-8606-26637d460ada,Stanfield Delf,26,Male
60,09808a3a-06b9-468f-bc03-e53a318865a4,Tobin Spread,vegan,25,Female,maybe,8,30.8843434,-28.5860306,7ff708c1-ea14-4b5d-9b36-ad581a49958b,Griffin Dye,29,Male
61,92d40711-f313-4af3-8f4c-e6c7089c6849,Laney Emanuelov,veggie,35,Female,maybe,2,-89.7790986,15.3733776,729a8778-dfaa-4a82-a903-147f5627c133,Gracie Reddell,30,Female
62,7e31eefc-f2ee-4012-b308-3ddcdb1d61cc,Elberta Crenage,vegan,23,Male,maybe,5,-43.5522256,-22.7106685,6be613f3-0ea0-4361-934e-50866a6eb27c,Carrissa Shercliff,27,Female
63,ecffe59c-a0be-4e5a-b611-813c0c41d205,Lorianna Wingate,none,27,Female,no,0,33.5140043,-2.9765098,aea369b5-ef68-4a0d-981f-31364117fde7,Conchita Trollope,31,Female
64,522eb627-85d3-45b9-8746-01c57436e69c,Devlin Galfour,meat,33,Male,yes,1,124.7663,10.5955,7dac6d4f-6623-4aa3-b4b9-ce13d3864587,Roddie Akerman,32,Male
65,cc4b5231-d85c-4a12-b642-c8ef166b9091,Carlye Elstob,none,35,Female,no,7,120.9274735,13.5074239,dd96f66e-4a3a-411f-8e6a-6d41fa515121,Ariana Lestrange,28,Female
66,7daa2109-5620-49d1-aa65-ff4c04cff6d2,Prissie Harold,none,26,Male,yes,9,116.4073963,39.9041999,dfb5370d-a593-4a05-bfcc-b0774d6c1258,Carolyne Guile,21,Female
67,e52dfdb5-e6e7-428f-9f27-c5dd1bee6f15,Frederique Hrishanok,vegan,26,Female,yes,12,109.374802,0.556948,7f06efb1-e1b5-4b27-8dc3-22e89a478589,Barbara-anne Josebury,32,Female
68,26e882ed-b5c1-42ef-ab10-2b609f3ce528,Vally Hrihorovich,none,25,Female,maybe,8,-8.380125,40.3853464,866b5493-cf64-4991-90c9-ca20c244b2d8,Gwenny Stockney,29,Female
69,df30cd3f-fdc5-4888-91dc-4f27fad6cb3a,York Wilkin,veggie,28,Female,no,2,100.8512816,13.6224855,ca6f3279-5976-44fd-b94d-bcd1133177ad,Spenser Slesser,23,Male
70,7da66709-ceb5-4f18-9e32-f0ae9cd82b87,Jocko Bolin,meat,32,Male,yes,9,132.08832,43.32807,d16a2461-7c5c-4ab6-abd4-121ec7ad680e,Demetris Lowrie,23,Male
71,9d2f6199-31a2-4517-a9bd-0c55cc8f4ffe,Seth Christal,veggie,23,Male,maybe,11,-5.24798,34.94873,d8c5629c-2b78-4cb7-a101-5aadc792e178,Darill Alphege,27,Male
72,39598b68-8b21-4779-8a9a-47c5832cda2b,Maisie Jephcott,meat,18,Female,no,11,118.5389179,24.9480325,c80194de-19a9-42d7-8456-b2348ee6cd14,Tiffani McKeveney,18,Female
73,995d99ba-5ba1-412f-974b-23cf8877754f,Arvie Reams,veggie,33,Female,no,4,110.289179,-7.9286951,1ab912d9-9cf2-492f-b239-bf1e511a9134,Tabor Cusworth,30,Male
74,86a9ec4c-923a-4435-be3a-53fcb6945eb4,Zorine Heenan,meat,29,Female,no,9,130.553343,46.239185,71290c47-eea6-4907-ba4e-c227d9fe5439,Jacquelin Mityashev,32,Female
75,4853ebf2-5ae8-4772-b46b-d4c6180e231a,Rolland Duester,vegan,29,Female,maybe,10,-4.2051476,6.6486989,ec4b2329-efaa-4c91-9498-d574fe9a2c69,Caz Macallam,34,Male
76,bb73dde0-e4ba-4446-977a-816bbba32950,Lanny Joan,vegan,25,Female,no,4,60.6401218,35.2316863,c6a3bec4-1d47-462b-a508-90e1b3ce075f,Ally Gherarducci,32,Female
77,7bda7456-af1c-4e60-9e20-deb158c9c2f5,Neddie Michin,meat,23,Male,maybe,9,121.023574,14.53348,b62d1ace-9c74-4737-80a2-62194b970eea,Richie McVie,26,Male
78,6a47a8a5-fd62-4cc2-978e-70e166f44876,Chevy Hayler,none,33,Male,no,2,108.3380469,15.8800584,64ae33ea-553d-4ca1-802d-a2033ffc7dfe,Mason Cavill,30,Male
79,67a42c85-82a3-4de7-868f-54a283eb39a6,Stafani Curwood,none,19,Male,maybe,4,39.705727,43.6296613,113398d4-5f3b-4601-b069-3cd532f2b186,Florie Doswell,24,Female
80,533604a1-8c29-4c64-b013-abfdbcc51b6e,Daloris D'Agostini,veggie,34,Female,no,9,21.5500203,41.3400747,773c299b-515d-40be-9656-de5da5b188f3,Laurette Height,32,Female
81,909783db-907f-401d-9e8a-ec554d6567b3,Frasier Sexton,veggie,25,Male,maybe,2,10.7048554,12.6400252,d5e8994e-e6a1-447d-a48c-b2678468af09,Regen Geindre,31,Male
82,56cc6c27-688a-4dc7-9bb7-e79f31bb7006,Rosette Howroyd,none,22,Female,yes,4,104.5422225,-4.9590869,6bd1da02-c5f4-4545-a617-2810bbee959b,Melantha Royston,24,Female
83,38a511f5-4631-4e59-b3c7-ff15bbea70f9,Gillian de Quincey,none,28,Male,no,3,121.626963,29.042269,b3b5113f-69e2-45f4-bd53-d687f7c16aba,Shirlee Dowles,30,Female
84,47f11d7c-1c06-45f1-809f-133f9c617b2b,Abrahan Bolitho,veggie,23,Male,yes,11,121.6851715,17.5358596,b4d2aea7-3b07-432c-89ba-7cb24e1b7420,Alphard Syplus,34,Male
85,007eeca1-9410-42d8-b62b-f7eb250fa919,Luciano Turpie,vegan,26,Female,yes,1,25.1864597,64.8373411,fbb62116-1e79-4ba7-820d-cda81112cc61,Cosme Cotterel,20,Male
86,f8eae565-24b4-480a-82fb-80dd216de309,Clem Portman,veggie,18,Female,no,4,4.0430608,44.1946802,1744e1be-4232-4f1e-8519-536e97bd8bca,Lil Reyson,23,Female
87,a1bd783f-d7f8-43b2-a494-1af659fe0ef6,Giorgi Leech,vegan,27,Female,no,11,29.0542223,49.8461722,14ef7db2-3397-467b-b1a7-03cab84e35c6,Killie Gosling,35,Male
88,d0f6fc18-89fe-45f6-afe1-ddacf59fcead,Way Keymar,meat,35,Female,yes,7,115.1573613,-8.6354966,52535335-4d7a-47e5-8be9-2d5f069d116a,Britt Juszkiewicz,21,Male
89,ba9ca2f9-3e54-4052-bcb1-27c841488997,Emeline Dellenty,veggie,21,Female,no,8,-63.5997921,-17.1101039,ee220142-0e00-48ab-a586-cf2e18a6ffda,Frannie Aumerle,22,Female
90,9a0fcd81-78c8-4594-8b17-630a1dd7cdb6,Kellen Dionisetti,none,35,Male,no,12,-8.3539235,41.5788457,c295d1f2-648a-4936-bbda-d72b4ffe4699,Jermaine Wright,28,Female
91,c45e75cd-3833-4625-8971-eb5850e8147a,Fayina Carreyette,vegan,18,Female,yes,11,99.8571416,14.7741387,504eb0df-923b-445b-ba49-4ec7f9dc9a97,Biddy Attyeo,24,Female
92,bae823d6-c542-4ae1-8748-b73421a793e0,Atlanta Sanbrooke,none,21,Male,yes,3,-74.8273184,8.7463586,f09e04d2-dd77-4b77-b3ae-98700c84bc5b,Austina Andrzejczak,24,Female
93,61cd7849-44f5-45af-9ce4-ac70a0e7a6ae,Curtis Ranshaw,vegan,23,Male,maybe,12,7.2491037,12.7578433,8eb951ec-907d-407a-9e44-7decfb3d0664,Shalom Bosworth,28,Male
94,6e6f041a-bdb4-4f3e-9591-4b03d634e08c,Brandtr Adolf,meat,23,Male,no,7,25.9053209,43.7979981,77eed73c-48ac-4751-8972-bf3d05fb94bb,Wakefield Booton,24,Male
95,da714e47-e85a-46cd-ab98-fa0f60c77129,Trumann Chue,none,21,Male,maybe,1,67.44046,33.1396,229c7ba8-f835-4dd1-9b40-aec1ce9af583,Lombard Kunzel,31,Male
96,019b5828-cc69-4634-a64e-dada5bd66fed,Seana Lancashire,meat,28,Female,maybe,3,28.187043,53.5324492,cb72df93-1141-42b0-b99e-833256cb3dcf,Amalee Jolland,32,Female
97,d9071ee0-25c4-41f3-ba61-237ae2a04b8b,Odie Trousdale,veggie,18,Female,yes,11,101.778223,36.617134,186a0c6b-b2b8-4202-9f46-5d83bfcab819,Frankie Schollick,32,Male
98,5445ae3a-8bae-4c9b-8957-90eeb77f008e,Arney Blackborn,veggie,33,Male,maybe,0,14.1113375,46.4232734,8932e095-9691-498f-8c8f-20f6ee8e373c,Gabriel Brito,29,Male
99,80b8bc4e-f18c-441f-9ffa-0aab74fc9cf4,Rustin Pomfret,veggie,24,Male,maybe,4,128.0462031,46.9758047,c208dc1a-af18-4149-bee5-32ebc7d0e308,Brendis Lutty,29,Male
100,109c6d73-3872-4949-8015-e60638f4d16a,Terrel Physic,meat,22,Female,maybe,12,9.4266475,51.2804955,56ea7839-c3e4-4b1b-b124-978c34ac7e10,Hurley Bottle,32,Male
101,0f57f91a-4090-49cf-af03-3fed83277599,Goldarina Thorpe,none,18,Female,yes,9,123.4102597,9.3172545,20041cac-048f-493d-a5b6-b0496113b279,Gwen Nisco,28,Female
102,ac188419-9419-46bd-bca9-bf2ecbb890df,Albrecht Corah,meat,27,Male,no,11,121.0394028,14.5001422,b4379596-81b0-4417-bdb5-42fe1153be46,Alberto Marages,22,Male
103,6e5574dc-2354-4ce8-b95a-bf41eb3c1189,Natal Gallego,veggie,21,Female,maybe,0,-99.1675842,19.307033,353ee5bd-57d3-4c73-b2ab-1333f9fd3b85,Edd Shingles,35,Male
